species_label,lat,lng,province,city,district,address,year,count
大鳄龟,31.21078225224992,121.48904433261578,上海市,,,上海市,,1
大鳄龟,40.18698478637371,116.41892401824191,北京市,,,北京市,,1
大鳄龟,30.626543552548593,102.69511144026079,四川省,,,四川省,,1
大鳄龟,36.36196535534078,118.18286398987608,山东省,,,山东省,,1
大鳄龟,23.304812771431603,113.41790595544725,广东省,,,广东省,,1
大鳄龟,23.81827511414045,108.79264334710047,广西壮族自治区,,,广西壮族自治区,,1
大鳄龟,32.96486132153154,119.49340941670577,江苏省,,,江苏省,,1
大鳄龟,27.61158014411382,115.72733881673588,江西省,,,江西省,,1
大鳄龟,29.182362173122957,120.144261266752,浙江省,,,浙江省,,1
大鳄龟,17.881890269508578,110.29700571561347,海南省,,,海南省,,1
大鳄龟,27.60668273712699,111.71415132730344,湖南省,,,湖南省,,1
福寿螺,31.358082438058513,121.24438535086614,上海市,上海市,嘉定区,上海市 嘉定区,,1
福寿螺,31.257905898536766,121.39204249947997,上海市,上海市,普陀区,上海市 普陀区,,1
福寿螺,31.08715896575899,121.7503353068396,上海市,上海市,浦东新区,上海市 浦东新区,,1
福寿螺,31.20739726769683,121.38096225131497,上海市,上海市,长宁区,上海市 长宁区,,1
福寿螺,31.21078225224992,121.48904433261578,上海市,,,上海市,,1
福寿螺,24.97231308028129,101.48812245314876,云南省,,,云南省,,1
福寿螺,23.738660167192396,120.96479657390617,台湾省,,,台湾省,,1
福寿螺,30.626543552548593,102.69511144026079,四川省,,,四川省,,1
福寿螺,23.304812771431603,113.41790595544725,广东省,,,广东省,,1
福寿螺,23.81827511414045,108.79264334710047,广西壮族自治区,,,广西壮族自治区,,1
福寿螺,31.590527321607958,119.03241906101645,江苏省,南京市,溧水区,江苏省 南京市 溧水区,,1
福寿螺,31.925232571888543,118.84798461752081,江苏省,南京市,,江苏省 南京市,,2
福寿螺,32.96486132153154,119.49340941670577,江苏省,,,江苏省,,1
福寿螺,27.61158014411382,115.72733881673588,江西省,,,江西省,,1
福寿螺,33.881426589317435,113.6200303531498,河南省,,,河南省,,1
福寿螺,29.89740204472442,119.47505765865165,浙江省,杭州市,,浙江省 杭州市,,1
福寿螺,29.182362173122957,120.144261266752,浙江省,,,浙江省,,1
福寿螺,19.74703678552975,110.78868998892436,海南省,文昌市,,海南省 文昌市,,1
福寿螺,17.881890269508578,110.29700571561347,海南省,,,海南省,,1
福寿螺,30.973896659164577,112.27555047569828,湖北省,,,湖北省,,1
福寿螺,29.477036567501692,112.86596404942723,湖南省,岳阳市,君山区,湖南省 岳阳市 君山区,,1
福寿螺,28.473259175638642,112.43680725876088,湖南省,益阳市,赫山区,湖南省 益阳市 赫山区,,1
福寿螺,27.60668273712699,111.71415132730344,湖南省,,,湖南省,,1
福寿螺,26.174364684818087,119.11655414124006,福建省,福州市,闽侯县,福建省 福州市 闽侯县,,1
福寿螺,26.051721973543824,118.00962802932945,福建省,,,福建省,,1
福寿螺,31.489022417428153,88.44350291245746,西藏自治区,,,西藏自治区,,1
福寿螺,26.03018976571741,108.41258924152541,贵州省,黔东南苗族侗族自治州,榕江县,贵州省 黔东南苗族侗族自治州 榕江县,,1
福寿螺,26.150540315805355,109.06684292962157,贵州省,黔东南苗族侗族自治州,黎平县,贵州省 黔东南苗族侗族自治州 黎平县,,1
