species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.73989,121.80367,,TW,2022-08-17,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.91896,120.18427,,TW,2022-08-20,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.90079,120.31007,,TW,2022-08-21,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.8756,120.36218,,TW,2022-08-20,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.8643,120.36461,,TW,2022-08-21,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07487,120.3265,,TW,2022-08-08,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.88811,120.39622,,TW,2022-08-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.90287,120.36596,,TW,2022-08-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.9169,120.46048,,TW,2022-08-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.58441,121.33277,,TW,2022-08-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.58444,121.33277,,TW,2022-08-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.58443,121.33277,,TW,2022-08-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.87314,120.486,,TW,2022-08-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.0193,120.28351,,TW,2022-08-07,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.97585,120.35561,,TW,2022-08-06,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.63472,120.61022,,TW,2022-09-13,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.63419,120.61,,TW,2022-09-13,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.217991,121.270227,,TW,2022-10-04,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07466,120.32631,,TW,2022-11-12,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.87311,120.48453,,TW,2022-11-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.87328,120.48611,,TW,2022-11-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.05825,120.27701,,TW,2022-11-12,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.87566,120.36216,,TW,2022-11-05,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.88815,120.39615,,TW,2022-11-05,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.84879,120.36123,,TW,2022-11-05,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.40358,120.38233,,TW,2022-12-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.32894,120.25344,,TW,2022-12-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.08023,120.66596,,TW,2022-12-29,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.9721,120.64729,,TW,2021-06-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.02271,120.63682,,TW,2021-06-10,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.0978,120.62405,,TW,2021-07-28,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.1784,120.7378,,TW,2021-07-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.11051,120.69869,,TW,2021-07-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.468036,121.501702,,TW,2021-08-24,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.406167,120.420733,,TW,2021-10-07,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.3534,120.272906,,TW,2021-10-07,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.461199,121.499297,,TW,2021-11-02,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.385596,121.343008,,TW,2021-11-04,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.396963,120.419081,,TW,2020-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.413406,120.408255,,TW,2020-09-24,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.97211,120.6473,,TW,2020-11-06,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.91185,120.49284,,TW,2019-04-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.86813,120.49618,,TW,2019-04-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.89501,120.54881,,TW,2019-04-16,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.84552,120.4831,,TW,2019-06-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.49788,120.30323,,TW,2016-04-18,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.51328,120.3603,,TW,2016-04-18,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.5136,120.44325,,TW,2016-04-18,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.4754,120.24483,,TW,2016-04-18,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.09,120.51,,TW,2015-02-09,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.08,120.48,,TW,2015-05-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.50907,120.47519,,TW,2015-06-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.4915,120.512,,TW,2015-06-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.48183,120.29318,,TW,2015-06-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.51005,120.37475,,TW,2015-06-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.16,120.34,,TW,2015-08-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.08,120.51,,TW,2015-08-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.09,120.48,,TW,2015-08-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.44438,120.16909,,TW,2015-09-01,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",25.06321,121.50652,,TW,2015-10-05,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",24.52972,120.81597,,TW,2014-01-23,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.08,120.5,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07,120.51,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.19,120.49,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.12,120.45,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.12,120.35,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.11,120.48,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.12,120.38,,TW,2014-08-25,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.27785,120.29097,,TW,2013-03-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.29861,120.36585,,TW,2013-03-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.29712,120.32358,,TW,2013-03-11,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.28988,120.3833,,TW,2013-06-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.26006,120.27272,,TW,2013-06-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.32956,120.41458,,TW,2013-06-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.33825,120.40727,,TW,2013-06-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.2974,120.34289,,TW,2013-06-03,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.02085,120.28229,,TW,2012-03-19,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.05878,120.27764,,TW,2012-03-19,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.80309,120.36123,,TW,2012-03-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.82367,120.28395,,TW,2012-03-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.78526,120.29699,,TW,2012-03-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.07486,120.32658,,TW,2012-03-19,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",23.01372,120.1823,,TW,2012-03-19,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.8024,120.27999,,TW,2012-03-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.80524,120.28805,,TW,2012-03-22,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.80412,120.21902,,TW,2012-05-04,
豹纹翼甲鲶,"Pterygoplichthys pardalis (Castelnau, 1855)",22.80863,120.34435,,TW,2012-05-04,
